batch_id,barcode,batch_number,quantity,retail_price,tp_price,cost_price,expiry_date
4586,4586,BATCH-4586,3,469.34,408.12,408.12,2027-12-31
4589,4589,BATCH-4589,1,570.95,496.48,496.48,2027-12-31
2926,2926,BATCH-2926,2,367.54,319.6,319.6,2027-12-31
3017,3017,BATCH-3017,1,521.49,453.47,453.47,2027-12-31
5029,5029,BATCH-5029,3,6.13,5.33,5.33,2027-12-31
5286,5286,BATCH-5286,10,92.0,80.0,80.0,2027-12-31
5010,5010,BATCH-5010,1,195.5,170.0,170.0,2027-12-31
5382,5382,BATCH-5382,3,345.0,300.0,300.0,2027-12-31
4433,4433,BATCH-4433,2,109.25,95.0,95.0,2027-12-31
4910,4910,BATCH-4910,2149,6.21,5.4,5.4,2027-12-31
3658,3658,BATCH-3658,50,39.1,34.0,34.0,2027-12-31
5028,5028,BATCH-5028,6,92.0,80.0,80.0,2027-12-31
4558,4558,BATCH-4558,7,152.15,132.3,132.3,2027-12-31
3667,3667,BATCH-3667,22,51.75,45.0,45.0,2027-12-31
5417,5417,BATCH-5417,152,109.25,95.0,95.0,2027-12-31
3926,3926,BATCH-3926,42,163.56,142.23,142.23,2027-12-31
3927,3927,BATCH-3927,33,255.53,222.2,222.2,2027-12-31
5374,5374,BATCH-5374,20,74.75,65.0,65.0,2027-12-31
6,6,BATCH-6,1,278.59,242.25,242.25,2027-12-31
503,503,BATCH-503,2,82.8,72.0,72.0,2027-12-31
5343,5343,BATCH-5343,34,74.75,65.0,65.0,2027-12-31
4456,4456,BATCH-4456,3,182.46,158.66,158.66,2027-12-31
5315,5315,BATCH-5315,4,109.25,95.0,95.0,2027-12-31
3464,3464,BATCH-3464,121,1.26,1.1,1.1,2027-12-31
3124,3124,BATCH-3124,2,255.02,221.76,221.76,2027-12-31
5261,5261,BATCH-5261,37,19.85,17.26,17.26,2027-12-31
3520,3520,BATCH-3520,133,6.09,5.3,5.3,2027-12-31
4021,4021,BATCH-4021,10,154.33,134.2,134.2,2027-12-31
4774,4774,BATCH-4774,18,126.5,110.0,110.0,2027-12-31
4435,4435,BATCH-4435,6,241.5,210.0,210.0,2027-12-31
3820,3820,BATCH-3820,130,5.75,5.0,5.0,2027-12-31
5063,5063,BATCH-5063,33,35.65,31.0,31.0,2027-12-31
5291,5291,BATCH-5291,10,19.55,17.0,17.0,2027-12-31
5278,5278,BATCH-5278,1,416.87,362.5,362.5,2027-12-31
