item_id,barcode,name,pack_size,retail_price,tp_price,cost_price,quantity,rack_location,company_name,generic_name,category_name
5221,5221,2BLINK EYE DROP,1,517.5,450.0,450.0,0,,,,DROPS
4586,4586,2SUM 1G INJ,1,469.34,408.12,408.12,3,,,,INJECTION
4587,4587,2SUM 250MG INJ,1,0.0,0.0,0.0,0,,,,INJECTION
4589,4589,2SUM 2G INJ,1,570.95,496.48,496.48,1,,,,INJECTION
4588,4588,2SUM 500MG INJ,1,285.14,247.95,247.95,0,,,,INJECTION
3381,3381,A CLOX 500MG INJ,1,16.1,14.0,14.0,0,,,,INJECTION
5128,5128,A MIL 1200G,1,601.71,523.23,523.23,0,,,,OTHER
3106,3106,A VID 200MG TAB,1,27.6,24.0,24.0,0,,,,TABLET
5309,5309,AAFAQEE POWDER,1,69.0,60.0,60.0,0,,,,SACHET
3392,3392,ABIFIX 100MG SYP,1,59.8,52.0,52.0,0,,,,SYRUP
2595,2595,ABIFIX 400MG TAB,1,97.75,85.0,85.0,0,,,,TABLET
4562,4562,ACABEL 8MG TAB,1,228.79,198.95,198.95,0,,,,TABLET
2605,2605,ACCU CHEK INSTANT METER,1,1610.0,1400.0,1400.0,0,,,,OTHER
2926,2926,ACEBEX CAP,1,367.54,319.6,319.6,2,,,,CAPSULE
3017,3017,ACENAC 100MG TAB,1,521.49,453.47,453.47,1,,,,TABLET
5029,5029,ACHFEN 100MG TAB,1,6.13,5.33,5.33,3,,,,TABLET
5286,5286,ACIGO 240ML SYP,1,92.0,80.0,80.0,10,,,,SYRUP
3886,3886,ACITRAL 120ML SYP,1,28.75,25.0,25.0,0,,,,SYRUP
5010,5010,ACNE TREAT CREAM,1,195.5,170.0,170.0,1,,,,CREAM
2951,2951,ACRIFLAVIN 25G OINTMENT,1,28.75,25.0,25.0,0,,,,CREAM
4681,4681,ACSOLVE 1% LOTION,1,0.0,0.0,0.0,0,,,,CREAM
3601,3601,ACTIFAR CAP,1,54.05,47.0,47.0,0,,,,CAPSULE
1677,1677,ACTIM 5MG TAB,1,69.0,60.0,60.0,0,,,,TABLET
4163,4163,ACYLEX 400MG TAB,1,574.0,499.13,499.13,0,,,,TABLET
4162,4162,ACYLEX 5GM OINT,1,192.16,167.1,167.1,0,,,,CREAM
4085,4085,AD-CAL TAB,1,92.0,80.0,80.0,0,,,,TABLET
2596,2596,ADICOVIL INJ 1X100,1,4.02,3.5,3.5,0,,,,INJECTION
4524,4524,ADMIRA 15ML SYP,1,247.25,215.0,215.0,0,,,,SYRUP
2787,2787,ADOXIME 250MG INJ,1,30.47,26.5,26.5,0,,,,INJECTION
4682,4682,ADRANCE-M,1,0.0,0.0,0.0,0,,,,OTHER
5382,5382,AEROHALER,1,345.0,300.0,300.0,3,,,,OTHER
3554,3554,AFFIF INFUGEN,1,74.75,65.0,65.0,0,,,,OTHER
4433,4433,AFIXIM 100MG SYP,1,109.25,95.0,95.0,2,,,,SYRUP
4910,4910,AKLOGESIC 75MG INJ,1,6.21,5.4,5.4,2149,,,,INJECTION
3369,3369,AKSOCAM INJ,1,44.27,38.5,38.5,0,,,,INJECTION
4998,4998,AKTALIN ORAL GEL,1,74.75,65.0,65.0,0,,,,CREAM
3669,3669,ALBA 200MG TAB,1,16.1,14.0,14.0,0,,,,TABLET
3431,3431,ALBACT 200MG TAB,1,0.0,0.0,0.0,0,,,,TABLET
3658,3658,ALBENZA SYP,1,39.1,34.0,34.0,50,,,,SYRUP
4158,4158,ALBON 60ML SYP,1,0.0,0.0,0.0,0,,,,SYRUP
3745,3745,ALBONE 120ML SYP,1,32.2,28.0,28.0,0,,,,SYRUP
3150,3150,ALBOQUIN 500MG TAB,1,48.3,42.0,42.0,0,,,,TABLET
4401,4401,ALBUMIN TEST,1,57.5,50.0,50.0,0,,,,OTHER
4622,4622,ALCOHOL PADS,1,253.0,220.0,220.0,0,,,,OTHER
3726,3726,ALCON 150MG CAP,1,23.0,20.0,20.0,0,,,,CAPSULE
3767,3767,ALDICO 120ML SYP,1,34.5,30.0,30.0,0,,,,SYRUP
5028,5028,ALDIGESIC 100MG TAB,1,92.0,80.0,80.0,6,,,,TABLET
4558,4558,ALDOMET  TAB,1,152.15,132.3,132.3,7,,,,TABLET
3387,3387,ALDRON INJ,1,172.5,150.0,150.0,0,,,,INJECTION
3614,3614,ALERGIFEN INJ,1,4.14,3.6,3.6,0,,,,INJECTION
3074,3074,ALIPRO 250MG TAB,1,40.25,35.0,35.0,0,,,,TABLET
3073,3073,ALIPRO 500MG TAB,1,54.05,47.0,47.0,0,,,,TABLET
4417,4417,ALKALINE KET,1,0.0,0.0,0.0,0,,,,OTHER
3667,3667,ALLERGON 120ML SYP,1,51.75,45.0,45.0,22,,,,SYRUP
3809,3809,ALLERMINE TAB,1,10.35,9.0,9.0,0,,,,TABLET
3576,3576,ALLOS TAB,1,31.05,27.0,27.0,0,,,,TABLET
3936,3936,ALMONT 10MG TAB,1,59.8,52.0,52.0,0,,,,TABLET
