"batch_id","barcode","batch_number","quantity","retail_price","tp_price","cost_price","expiry_date"
"1","0","","113","150","61.6599998474121","82","2028-05-30"
"1","1","","13","450","354.5","234.160003662109","2028-06-06"
"1","100","","227","217","188.320007324219","156","2028-06-05"
"1","1000","","6","150","130","130","2028-10-28"
"1","10001","","2","500","215","0","2029-08-13"
"1","10002","","2","500","290","0","2029-08-13"
"1","10003","","24","100","91.6600036621094","0","2029-08-13"
"1","10004","","48","60","56","0","2029-08-13"
"1","10005","","3","240","160","0","2029-08-15"
"1","10006","","1","518","431","0","2029-08-16"
"1","10007","","1","647","539","0","2029-08-16"
"1","1001","","10","600","550","500","2028-11-15"
"1","1002","","11","500","375","217","2028-06-06"
"1","1003","","19","500","460","450","2028-06-06"
"1","1004","","20","270","230","176","2028-06-06"
"1","1005","","31","110","95","81","2028-08-02"
"1","1006","","17","150","130","110","2028-05-30"
"1","1009","","1","4700","4402","0","2029-06-11"
"1","101","","138","195","167","130","2028-06-05"
"1","1010","","40","620","570","380","2028-05-30"
"1","1011","","84","160","145","125","2028-06-06"
"1","1012","","10","150","135","135","2028-07-14"
"1","1014","","94","300","220","223","2028-06-06"
"2","1015","","88","900","820","787.859985351563","2028-11-01"
"1","1015","0","10","900","820","820","2028-06-05"
"1","1016","","340","120","85","85","2028-08-02"
"1","1017","","871","10","5.69999980926514","6.09999990463257","2028-06-22"
"1","1018","","942","10","6","6.09999990463257","2028-06-22"
"1","1019","","12","250","220","220","2028-11-11"
"1","102","","65","200","172.190002441406","160","2028-07-07"
"1","1020","","15","900","783","778.400024414063","2028-08-23"
"1","1021","","27","88","32","32","2028-06-01"
"1","1022","","121","200","145","154","2028-06-04"
"1","1023","0","25","100","82","82","2028-09-02"
"1","1024","","15","100","90","0","2029-08-02"
"1","1025","0","5","100","90","0","2029-02-17"
"1","1026","","13","115","82","123.199996948242","2028-06-16"
"1","1027","","24","480","410","0","2029-08-13"
"1","1029","","10","30","8","8","2028-06-03"
"1","103","","28","193","167","160","2028-07-07"
"1","1030","","3","200","182","174","2028-06-02"
"1","1031","","6","112","95","95","2028-12-11"
"1","1032","","9","350","297","277","2028-07-31"
"1","1033","","61","75","32","24","2028-05-31"
"1","1035","","43","250","195","217.5","2028-06-02"
"1","1036","","62","180","147","149.600006103516","2028-05-31"
"1","1037","0","2","782","639","592","2028-11-15"
"1","1038","","15","460","336","332","2028-06-02"
"1","1039","","35","210","157","154","2028-06-01"
"1","104","","160","180","156","140","2028-06-05"
"1","1040","","6","128","65","65","2028-06-03"
"1","1041","","61","250","165","150","2028-06-04"
"1","1042","","6","152","136","134","2028-09-01"
"1","1044","","22","350","320","290.399993896484","2028-05-30"
"1","1045","","6","97","84","84","2028-07-23"
"1","1046","","7","232","197","187","2028-05-31"
"1","1047","","40","255","220.580001831055","221","2028-05-29"
"1","1048","","10","240","199","177","2028-06-02"
"1","105","","169","180","156","142","2028-06-05"
"1","1050","","155","231","200","202.399993896484","2028-06-01"
"1","1052","","25","250","200","200","2028-06-06"
"1","1054","","60","87","74","47.5200004577637","2028-07-05"
"1","1055","","2","327.769989013672","283","0","2029-08-17"
"1","1057","","6","260","177","177","2028-11-08"
"1","1058","","3","314","226","226","2028-06-02"
"1","106","","43","532","452.329986572266","468.160003662109","2028-06-02"
"1","1060","","8","265","225","222.740005493164","2028-11-08"
"1","1061","","12","260","224.5","125","2028-11-07"
"1","1062","","155","110","76","81","2028-06-02"
"1","1063","","60","105","70","58","2028-11-03"
"1","1064","","35","470","435","440","2028-05-30"
"1","1065","","19","750","705","710","2028-05-30"
"1","1066","0","1","1700","1550","0","2029-02-11"
"1","1067","","57","170","165","140","2028-05-30"
"1","1068","","25","470","410","420","2028-05-30"
"1","1069","","65","1000","900","820","2028-11-08"
"1","107","","7","876","727","652.5","2028-05-31"
"1","1075","","4","519","481","446","2028-05-31"
"1","1076","","1","649","558","558","2028-05-31"
"1","1077","","2","404","352","352","2028-06-05"
"1","1078","","8","225","153","172","2028-08-26"
"1","1079","","15","370","327.329986572266","340","2028-05-30"
"1","108","","3","800","702","630","2028-06-05"
"1","1080","","7","285","187","184","2028-06-05"
"1","1081","","14","390","232","331","2028-06-23"
"1","1082","","9","175","60","60","2028-06-03"
"1","1083","","19","285","242","242.880004882813","2028-08-01"
"1","1084","","4","396","313","313","2028-05-31"
"1","1090","","16","450","400","351.119995117188","2028-06-04"
"2","1091","","76","140","91","0","2029-01-17"
"1","1091","0","-69","128","89.5999984741211","99","2028-06-02"
"1","1092","","5","350","303","308","2028-06-02"
"1","1093","","4","222","202","192","2028-06-02"
"1","1094","","53","200","176.5","145.75","2028-05-31"
"1","1095","","15","240","201.600006103516","250","2028-06-28"
"1","1096","","12","207","179.490005493164","380","2028-07-23"
"1","1097","","48","196","160","156","2028-06-24"
"1","1098","","72","232","201","200","2028-06-05"
"1","1099","","26","410","368","336","2028-06-30"
"1","110","","5","20","8.5","8.5","2028-06-06"
"1","1100","","6","123","106","0","2029-01-01"
"1","1102","","21","175","141","145","2028-09-21"
"1","1103","","14","260","225","322","2028-06-01"
"1","1104","","248","20","14","14","2028-06-23"
"1","1105","","25","535","140","140","2028-06-06"
"1","1107","","99","223","193","193","2028-06-05"
"1","1108","","3","150","108","108","2028-06-06"
"1","1109","","40","288","250","225","2028-07-14"
"1","111","","926","40","16","15","2028-05-31"
"1","1111","","2","170","147","147","2028-07-23"
"1","1112","","25","385","337","292","2028-05-29"
"1","1113","","90","44","37","37","2028-06-16"
"1","1114","","120","64","47","49","2028-06-16"
"1","1115","","27","120","103","103.800003051758","2028-07-28"
"1","1116","","2","242","206","206","2028-06-01"
"1","1117","","8","480","408","395","2028-05-29"
"1","1118","","30","550","275","475","2028-05-29"
"1","1119","","3","695","588","572","2028-12-23"
"1","112","","241","150","60","70","2028-06-03"
"1","1120","","45","32","27","27","2028-06-16"
"1","1121","","9","63","55","55","2028-06-11"
"1","1122","","15","100","82","0","2029-03-24"
"1","1123","","4","310","268","242","2028-06-05"
"1","1125","","4","385","340","340","2028-06-01"
"1","1127","0","5","90","70","70","2028-06-01"
"1","1128","","13","628","547","543","2028-06-01"
"1","113","","115","100","35","40","2028-06-03"
"1","1131","","25","600","300","275","2028-06-05"
"1","1132","","3","440","308","330","2028-06-05"
"1","1134","","20","125","108.75","108.75","2028-05-30"
"1","1135","","3","290","244","0","2028-12-27"
"1","1136","","1","445","242","242","2028-06-23"
"1","1137","","10","413","268.450012207031","289.100006103516","2028-06-03"
"1","1138","","5","120","60","60","2028-11-21"
"1","1139","","10","376","188","245.699996948242","2028-09-26"
"1","114","","66","70","59","75.6800003051758","2028-06-03"
"1","1141","","8","281","182.649993896484","182.649993896484","2028-11-07"
"1","1142","","32","60","30","30","2028-05-31"
"1","1144","","1","3000","2764.69995117188","0","2029-08-17"
"1","1145","","6","20","12","12","2028-05-31"
"1","1146","","5","532","183","183","2028-08-26"
"1","1147","","294","25","15.8000001907349","10","2028-08-08"
"1","1149","","7","1060","780","770","2028-06-04"
"1","115","","10","110","95","0","2029-03-27"
"1","1150","","15","259","125","145","2028-06-06"
"1","1151","","40","80","30","32","2028-08-11"
"2","1152","","4","160","122","0","2029-01-22"
"1","1152","0","4","160","124","105","2028-06-04"
"1","1153","","136","23","18","15","2028-07-07"
"1","1154","","60","50","39.4000015258789","39.4000015258789","2028-11-11"
"1","1156","","70","20","5.5","5.5","2028-06-16"
"1","1157","","3","180","156","156","2028-06-05"
"1","1158","","18","680","590","539","2028-06-06"
"1","1163","","32","120","41","50","2028-06-16"
"1","1164","","20","35","31","31","2028-05-31"
"1","1165","","3","180","155","146","2028-06-04"
"1","1167","","11","265","229","179.520004272461","2028-06-04"
"1","1168","","4","381","315","329","2028-06-05"
"2","1169","","13","200","170","170","2028-08-29"
"1","1169","0","4","200","170","165","2028-08-16"
"1","1170","","4","281","250","243","2028-06-05"
"1","1171","","22","203","167.600006103516","164","2028-05-29"
"1","1173","","7","550","422.200012207031","500","2028-05-30"
"1","1174","","41","800","582","540","2028-06-16"
"1","1175","","42","540","370","350","2028-06-28"
"1","1176","","70","220","172.610000610352","150","2028-06-16"
"1","1177","","1","30","23","0","2029-08-18"
"1","1178","","90","25","18.6599998474121","18.6599998474121","2028-09-13"
"1","1179","","25","125","93","108","2028-10-27"
"1","118","","4","345","298","0","2029-03-04"
"1","1181","","4","525","472","0","2029-02-06"
"1","1182","","5","161","136.850006103516","199.759994506836","2028-06-05"
"1","1187","","9","110","101","0","2029-03-08"
"1","1188","","3","280","212","204","2028-06-04"
"1","1189","","15","562","488","448.799987792969","2028-05-31"
"1","119","","10","139","138.300003051758","0","2029-03-31"
"1","1190","","13","251","211","195","2028-05-31"
"1","1191","","4","390","340","340","2028-05-31"
"1","1192","","4","240","204","204","2028-09-29"
"1","1193","","18","112","97.1800003051758","114.400001525879","2028-06-01"
"1","1194","","6","501","400.799987792969","396","2028-06-05"
"1","1195","","12","397","347","320.5","2028-06-05"
"1","1196","","5","210","178","181","2028-05-31"
"1","1197","","17","540","467","475.200012207031","2028-05-31"
"1","1198","","6","330","270.5","252","2028-06-01"
"1","1199","","5","203","147","147","2028-06-02"
"1","12","","9","250","212","220","2028-06-11"
"1","120","","108","280","242","216","2028-05-29"
"1","1200","0","1","1030","890.950012207031","410","2028-06-01"
"1","1202","","9","490","427","306","2028-06-01"
"1","1203","","3","250","223","0","2029-01-25"
"1","1204","","17","71","64","62","2028-10-27"
"1","1205","","8","137","113.279998779297","117","2028-08-02"
"1","1206","","9","32","28","28","2028-06-01"
"1","1207","","47","75","64","42","2028-06-11"
"1","1208","0","72","10","6.69999980926514","6.69999980926514","2028-12-01"
"1","1209","","100","10","2.95000004768372","0","2029-04-14"
"1","1210","","250","100","70","71","2028-06-21"
"1","1211","","6","450","363","323","2028-07-08"
"1","1213","","26","70","54","23","2028-06-01"
"1","1214","","3","320","285","285","2028-11-20"
"1","1215","","40","1200","1128.5","1080","2028-06-28"
"1","1216","","12","250","100","190","2028-10-14"
"1","12161","","1","220","190","190","2028-05-30"
"1","1218","","51","100","55","58","2028-08-02"
"1","1219","","9","350","260","260","2028-06-06"
"1","122","","67","160","136","93","2028-06-02"
"1","1220","","24","100","54","73","2028-06-25"
"1","1221","","20","150","65","65","2028-08-05"
"1","1222","","40","200","160","120","2028-08-05"
"1","1223","0","1","750","450","450","2028-06-06"
"1","1226","","1","80","50","0","2029-07-13"
"1","1227","","6","160","139","139","2028-07-20"
"1","1228","","26","300","258","253.440002441406","2028-06-01"
"1","1229","","2","120","30","30","2028-06-04"
"1","123","","4","170","144","92.4000015258789","2028-06-04"
"1","1232","","15","214","90","85","2028-09-21"
"1","1233","","18","80","55","51","2028-06-02"
"1","1235","","43","110","70","55","2028-06-03"
"1","1236","0","1","150","127","127","2028-05-31"
"1","1237","","100","80","67","67","2028-06-04"
"1","1238","","81","50","38","33","2028-06-03"
"1","1239","","4","273","240.889999389648","158","2028-06-03"
"1","124","","213","357","308","259","2028-05-29"
"1","1242","","1","275","160","160","2028-06-05"
"1","1244","","56","216","187.449996948242","145","2028-06-03"
