"item_id","barcode","name","pack_size","retail_price","tp_price","cost_price","quantity","rack_location","company_name","generic_name","category_name"
"348","UNK00070","0PRIL 20 CAP","1","100","40","40","10","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1923","1872","125","1","1500","1000","1000","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1773","UNK00409","177513","1","245","208","208","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1025","NEBIX 2.5 MG TAB","1X1","1","0","0","0","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"618","616","2sum 1 mg inj","1","460","412","405","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"617","615","2sum 2 mg inj","1","620","521","513.609985351563","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"619","617","2sum 500 mg inj","1","255","224.399993896484","224.399993896484","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1049","1053","4 me face wash","1","300","250","250","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"865","864","4x","1","100","80","80","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1918","1867","4x spry","1","500","350","350","2","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1752","177492","A Mil 1","1","600","558","558","1","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"2432","8019","a mil lf","1","700","658","658","1","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1088","1096","abacus 100mg","1","207","179.490005493164","183.550003051758","6","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"939","942","abacus 200 tab","1","275","237","237","4","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1114","1123","Abacus syp","1","310","268","268","1","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1518","1686","abocal tab","1","350","289","289","3","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"195","195","Abocran","1","50","38","38.4799995422363","35","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1619","17178","acabel 8 mg tab","1","250","210","210","1","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1618","17177","acabel tab 4mg","1","130","112","112","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"2012","1943","accu chek","1","50","34.5","34.5","50","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1023","1028","accu chek","1","40","39","39","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1490","1659","ACEBEX CAP","1","180","144.279998779297","144.279998779297","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"505","503","Acefyl syp","1","219","167","167","6","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"508","506","Acefyl syp","1","125","104","98.1600036621094","3","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"151","151","Acenac 100 tab","1","183","151.110000610352","151.110000610352","3","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"153","153","Acenac SR tab","1","250","217","166.919998168945","2","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1598","17148","Acne care cream","1","210","110","110","2","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1115","1124","acnes scar care","1","680","626","626","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1658","17307","Acnes Scare care cream","1","725","522","522","3","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"822","821","acort cream","1","180","151","151","1","","UNKNOWN","ABC","General"
"1422","1518","acsolve 1 gel","1","210","195","195","2","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1868","1804","actidil syrup","1","98","86","86","10","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1550","17100","actif 20 mg cap","1","62","53","53","4","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1551","1710","actif 40 mg cap","1","85","74","74","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"514","512","Actifed DM syp","1","200","172","175.199996948242","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"515","513","Actifed P SYP","1","200","172","172","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1284","1296","actifed p tab","1","60","45","45","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1659","17308","Actim 10 mg tab","1","292","252","252","6","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"2134","2073","actim 2.5 mg","1","43","37","37","6","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1647","17206","actim 5 mg tab","1","180","154","154.789993286133","2","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"2100","2034","actisure milke","1","1800","850","850","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1984","1914","active neb nebulizer","1","4000","3600","3600","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"2233","7633","acueletz 2.5 mg tab","1","1647","300","300","5","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"2004","1935","acylex 200 mg tab","1","100","85","85","5","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1934","1883","ACYLEX 400 MG TAB","1","300","255","255","4","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"2058","1991","acylex ointment","1","266","230","230","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"667","665","Aczon 500 inj","1","250","212.5","212.5","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1239","1251","adalin syp","1","95","65","70.5","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1445","1549","adfolic tab","1","160","142","142","9","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"721","721","Adgesic infusion","1","142","124.959999084473","124.959999084473","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1318","1330","adicos syp","1","150","130","131.559997558594","12","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
"1744","177484","Admira syp","1","260","243","243","0","..","UNKNOWN","ACEFYLLINE PIPERAZINE + DIPHENHYDRAMINE","General"
