"invoice_no","barcode","item_name","quantity","unit_price","discount","cost_price","line_total"
"1","307","Lowplat 75 tab","1","270","0","250","270"
"2","642","voren inj","1","60","0","43","60"
"3","408","Panadal tab","10","5","0","3","50"
"3","425","Omnidl tab","10","5","0","3.26999998092651","50"
"4","425","Omnidl tab","10","5","0","3.26999998092651","50"
"5","460","Cerelac 3 pal 175 mg","1","500","0","440","500"
"6","408","Panadal tab","20","5","0","3","100"
"7","924","glucophage 500 tab","2","50","0","32","100"
"7","392","Evion 400 cap","1","123","0","106","123"
"8","392","Evion 400 cap","1","123","0","106","123"
"9","264","Combivar 400 tab","1","170","0","145","170"
"10","408","Panadal tab","10","5","0","3","50"
"11","124","Cac 1000 tab","1","300","0","259","300"
"12","28","Augmentine 1000 mg tab","1","362","0","318.559997558594","362"
"13","28","Augmentine 1000 mg tab","1","362","0","318.559997558594","362"
"14","96","Relispa forte tab","1","87","0","75","87"
"15","760","brufen 200 tab","1","50","0","34","50"
"16","111","Beflam 75 tab","1","40","0","15","40"
"17","14","Eno lemon","3","15","0","14","45"
"18","148","Voren 50 tab","1","110","0","96.8000030517578","110"
"19","14","Eno lemon","3","15","0","14","45"
"20","198","Calcee 1000  Sachets","5","20","0","15","100"
"21","151","Acenac 100 tab","1","163","0","143.440002441406","163"
"22","761","Rigix tab","1","125","0","110","125"
"23","199","High C 1000 Sachets","3","20","0","14","60"
"24","307","Lowplat 75 tab","1","270","0","250","270"
"24","236","Ramipace 2.5 tab","1","322","0","283.359985351563","322"
"24","224","Concor 2.5 tab","1","186","0","148","186"
"25","9","LOWPLAT PLUS TAB","1","289","0","255","289"
"26","254","Calamox 625 tab","1","225","0","196.419998168945","225"
"27","70","Transamin 250 cap","1","166.75","0","150","166.75"
"28","14","Eno lemon","1","15","0","14","15"
"29","1050","epival 500 mg tab","1","230","0","202.399993896484","230"
"30","1335","cytopan 75mg","1","300","0","252","300"
"31","111","Beflam 75 tab","2","25","0","15","50"
"32","766","Ziclopel 4 tab","1","20","0","10","20"
"33","264","Combivar 400 tab","2","170","0","145","340"
"34","14","Eno lemon","5","15","0","14","75"
"35","106","Macrobac 500 tab","1","532","0","468.160003662109","532"
"36","408","Panadal tab","10","5","0","3","50"
"37","264","Combivar 400 tab","1","170","0","145","170"
"38","111","Beflam 75 tab","2","25","0","15","50"
"39","88","Envepe tab","2","100","0","86","200"
"40","1193","nebil 2.5","1","130","0","114.400001525879","130"
"41","5","citro soda","1","30","0","24.5","30"
"41","198","Calcee 1000  Sachets","1","20","0","15","20"
"42","55","Nezkil 600 tab","1","1550","0","1340","1550"
"43","463","Cerelac whet 375 mg","2","1000","0","836","2000"
"44","873","sunsilk","1","720","0","670","720"
"45","200","Lactogen 1 200 MG","1","750","0","716","750"
"46","963","ezium 40 mg cap","2","292","0","249","584"
"46","344","OPRIL 20 CAP","1","100","0","70","100"
"46","111","Beflam 75 tab","2","25","0","15","50"
"46","167","Daisy tab","1","50","0","19","50"
"46","5","citro soda","10","30","0","24.5","300"
"47","192","Cranax sachets","3","30","0","11","90"
"48","307","Lowplat 75 tab","1","270","0","250","270"
"48","224","Concor 2.5 tab","1","186","0","148","186"
"48","278","Glucovace 500 5 tab","1","120","0","105","120"
"49","75","Dulan 30 cap","1","465","0","409.200012207031","465"
"49","340","Nims 100 tab","1","125","0","110","125"
"50","85","Duphaston 10 tab","2","551","0","550","1102"
"51","750","stugeron forte","1","295","0","250","295"
"52","111","Beflam 75 tab","2","25","0","15","50"
"53","264","Combivar 400 tab","3","170","0","145","510"
"54","145","Inflamatix 100 tab","1","110","0","92","110"
"55","973","brexin tab","1","325","0","281","325"
"56","408","Panadal tab","10","5","0","3","50"
"57","400","Buscopan Plus tab","10","15","0","12","150"
"58","325","Zafnol 5 tab","1","50","0","44","50"
"59","192","Cranax sachets","20","30","0","11","600"
"60","279","Daonil 5 mg tab","3","44","0","38","132"
"61","159","Distalgesic tab","1","200","0","178","200"
"61","1397","warfin tab","2","144","0","112","288"
"62","344","OPRIL 20 CAP","1","100","0","70","100"
